| Name              | AP         | Recall@K   | B.Accuracy | N_Pos  | N_Neg  |
------------------------------------------------------------------------------
| amber             | 0.4337     | 0.2963     | 0.5971     | 27     | 250    |
| aqua              | 0.6458     | 0.3721     | 0.6378     | 43     | 564    |
| beige             | 0.5022     | 0.5823     | 0.7607     | 79     | 892    |
| black             | 0.8714     | 0.8848     | 0.8467     | 1181   | 2252   |
| blond             | 0.7426     | 0.6752     | 0.7618     | 117    | 365    |
| blue              | 0.8962     | 0.8429     | 0.8593     | 1190   | 2940   |
| bluish            | 0.8083     | 0.2642     | 0.5825     | 53     | 420    |
| bright blue       | 0.8946     | 0.6591     | 0.7938     | 44     | 302    |
| bright green      | 0.6931     | 0.3455     | 0.6027     | 55     | 194    |
| bright red        | 0.7938     | 0.5238     | 0.6989     | 42     | 581    |
| bright yellow     | 0.5586     | 0.5200     | 0.7220     | 25     | 111    |
| bronze            | 0.2997     | 0.1111     | 0.5000     | 9      | 43     |
| brown             | 0.8886     | 0.8646     | 0.8512     | 1108   | 1788   |
| burgundy          | 0.6490     | 0.3333     | 0.5825     | 24     | 585    |
| cream colored     | 0.6723     | 0.5897     | 0.7647     | 39     | 657    |
| dark blue         | 0.6454     | 0.6628     | 0.7447     | 86     | 856    |
| dark brown        | 0.6918     | 0.4528     | 0.7187     | 53     | 587    |
| dark gray         | 0.5769     | 0.3243     | 0.6242     | 111    | 859    |
| dark green        | 0.8053     | 0.7195     | 0.7873     | 82     | 653    |
| dark pink         | 0.7669     | 0.4667     | 0.7333     | 15     | 78     |
| dark purple       | 0.4015     | 0.3125     | 0.5915     | 16     | 452    |
| dark red          | 0.7241     | 0.2319     | 0.5640     | 69     | 797    |
| fuchsia           | 0.5344     | 0.3333     | 0.6176     | 12     | 270    |
| golden            | 0.6746     | 0.5806     | 0.7619     | 62     | 1314   |
| golden brown      | 0.7520     | 0.5652     | 0.7687     | 23     | 108    |
| gray              | 0.8707     | 0.7998     | 0.8199     | 899    | 1703   |
| green             | 0.9444     | 0.8763     | 0.9044     | 1075   | 3205   |
| ivory             | 0.6241     | 0.2143     | 0.6020     | 14     | 98     |
| light blue        | 0.7601     | 0.4898     | 0.6921     | 49     | 838    |
| light brown       | 0.5267     | 0.5000     | 0.7327     | 92     | 868    |
| light green       | 0.7228     | 0.6379     | 0.7340     | 58     | 539    |
| light gray        | 0.5213     | 0.3889     | 0.6441     | 36     | 521    |
| light red         | 0.4153     | 0.2353     | 0.5846     | 17     | 272    |
| light yellow      | 0.4756     | 0.2500     | 0.5479     | 28     | 350    |
| lime green        | 0.6744     | 0.4091     | 0.6581     | 22     | 506    |
| maroon            | 0.7022     | 0.6000     | 0.6972     | 35     | 884    |
| murky             | 0.7228     | 0.2800     | 0.6376     | 25     | 209    |
| navy blue         | 0.5980     | 0.5758     | 0.7204     | 33     | 409    |
| neon green        | 0.6812     | 0.8889     | 0.9335     | 9      | 319    |
| off white         | 0.3657     | 0.1111     | 0.6086     | 9      | 201    |
| olive green       | 0.5160     | 0.2308     | 0.6154     | 13     | 488    |
| orange            | 0.8226     | 0.7262     | 0.8017     | 526    | 2272   |
| pale blue         | 0.8093     | 0.3478     | 0.6179     | 23     | 80     |
| pale green        | 0.6314     | 0.5000     | 0.6413     | 14     | 322    |
| pink              | 0.8439     | 0.7255     | 0.8065     | 204    | 2426   |
| purple            | 0.7028     | 0.6406     | 0.7706     | 128    | 1711   |
| red               | 0.8988     | 0.8271     | 0.8586     | 931    | 3383   |
| reddish           | 0.1297     | 0.0000     | 0.5000     | 12     | 453    |
| rust colored      | 0.4990     | 0.1000     | 0.5171     | 20     | 126    |
| silver            | 0.7682     | 0.7668     | 0.8132     | 283    | 2013   |
| tan               | 0.5372     | 0.5281     | 0.7003     | 231    | 1595   |
| taupe             | 0.2425     | 0.0000     | 0.5000     | 10     | 78     |
| teal              | 0.5071     | 0.4074     | 0.6279     | 54     | 777    |
| terracotta        | 0.5744     | 0.2381     | 0.5760     | 21     | 78     |
| turquoise         | 0.6118     | 0.3333     | 0.5991     | 30     | 527    |
| violet            | 0.8031     | 0.7500     | 0.8309     | 12     | 407    |
| white             | 0.8893     | 0.8686     | 0.8587     | 1393   | 2994   |
| yellow            | 0.8564     | 0.8133     | 0.8562     | 557    | 2339   |
| black lettered    | 0.9101     | 0.8462     | 0.8434     | 65     | 85     |
| red lettered      | 0.7481     | 0.6364     | 0.7278     | 33     | 89     |
| white lettered    | 0.9001     | 0.6731     | 0.7440     | 156    | 133    |
| black haired      | 0.8919     | 0.3902     | 0.7195     | 41     | 62     |
| brown haired      | 0.4483     | 0.4571     | 0.5979     | 35     | 113    |
| dark haired       | 0.8782     | 0.4412     | 0.7020     | 102    | 88     |
| red haired        | 0.2282     | 0.3333     | 0.6476     | 9      | 184    |
| white haired      | 0.7108     | 0.4262     | 0.7154     | 61     | 213    |
| dark skinned      | 0.6167     | 0.4113     | 0.6446     | 124    | 313    |
| light skinned     | 0.9000     | 0.8782     | 0.7141     | 238    | 107    |
| wearing black     | 0.8822     | 0.7255     | 0.7863     | 102    | 161    |
| wearing blue      | 0.8981     | 0.7867     | 0.8565     | 75     | 213    |
| wearing green     | 0.8585     | 0.7111     | 0.8616     | 45     | 299    |
| wearing gray      | 0.6419     | 0.5424     | 0.6939     | 59     | 172    |
| wearing pink      | 0.8111     | 0.6739     | 0.8177     | 46     | 259    |
| wearing red       | 0.7551     | 0.6923     | 0.7760     | 78     | 167    |
| wearing white     | 0.8131     | 0.6618     | 0.8006     | 68     | 198    |
| light colored     | 0.7685     | 0.6314     | 0.7330     | 236    | 471    |
| dark colored      | 0.8710     | 0.6894     | 0.7518     | 161    | 162    |
| colorless         | 0.8038     | 0.6379     | 0.7517     | 58     | 70     |
| colorful          | 0.8710     | 0.7104     | 0.7807     | 297    | 634    |
| monochromatic     | 0.7786     | 0.4186     | 0.5239     | 43     | 18     |
